id,name,address,city,post_code,gmina,powiat,wojewodztwo
1855,Dom Kultury, Sołonka 26,Lubenia,36-043,gm. Lubenia,rzeszowski,podkarpackie
1856,Dom Kultury, Stary Węgliniec ul. Konopnickiej 3,Węgliniec,59-940,gm. Węgliniec,zgorzelecki,dolnośląskie
1857,Dom Kultury, Sterkowiec ul. Sosnowa 18,Szczepanów,32-823,gm. Brzesko,brzeski,małopolskie
1858,Dom Kultury, Sędziszowa 136,Siedliska,38-324,gm. Bobowa,gorlicki,małopolskie
1859,Dom Kultury, Sławików ul. Parkowa 1,Rudnik,47-411,gm. Rudnik,raciborski,śląskie
1860,"Dom Kultury, Tuchów (wejście od strony północnej) ", ul. Fryderyka Chopina 10,Tuchów,33-170,gm. Tuchów,tarnowski,małopolskie
1861,"Dom Kultury, Tuchów (wejście od strony wschodniej) ", ul. Fryderyka Chopina 10,Tuchów,33-170,gm. Tuchów,tarnowski,małopolskie
1862,Dom Kultury, Wilczyska 30,Bobowa,38-350,gm. Bobowa,gorlicki,małopolskie
1863,Dom Kultury, Wożuczyn-Cukrownia 21A,Rachanie,22-640,gm. Rachanie,tomaszowski,lubelskie
1864,Dom Kultury, Wólka Niedźwiedzka 264,Sokołów Małopolski,36-050,gm. Sokołów Małopolski,rzeszowski,podkarpackie
1865,"Dom Kultury, Ząbkowice ", ul. Chemiczna 2,Dąbrowa Górnicza,42-520,m. Dąbrowa Górnicza,Dąbrowa Górnicza,śląskie
1866,Dom Kultury, ul. Aleje Jana Pawła II 11,Łęczyca,99-100,m. Łęczyca,łęczycki,łódzkie
1867,Dom Kultury, ul. Antoniego Abrahama 38,Wierzchucino,84-113,gm. Krokowa,pucki,pomorskie
1868,Dom Kultury, ul. Ceramików 25,Gozdnica,68-130,m. Gozdnica,żagański,lubuskie
1869,Dom Kultury, ul. Chojnicka 30,Łąg,89-652,gm. Czersk,chojnicki,pomorskie
1870,Dom Kultury, ul. Czerwonych Kosynierów 19,Ustka,76-270,m. Ustka,słupski,pomorskie
1871,Dom Kultury, ul. Dworcowa 1,Zakrzewo,87-707,gm. Zakrzewo,aleksandrowski,kujawsko-pomorskie
1872,Dom Kultury, ul. Górnicza 1,Knurów,44-193,m. Knurów,gliwicki,śląskie
1873,Dom Kultury, ul. Jagiellońska 3,Jaworzno,43-600,m. Jaworzno,Jaworzno,śląskie
1874,Dom Kultury, ul. Kościelna 8,Czarna Białostocka,16-020,gm. Czarna Białostocka,białostocki,podlaskie
1875,Dom Kultury, ul. Krystyny 30,Rakoniewice,62-067,gm. Rakoniewice,grodziski,wielkopolskie
1876,Dom Kultury, ul. Ligonia 2A,Czerwionka-Leszczyny,44-238,gm. Czerwionka-Leszczyny,rybnicki,śląskie
1877,Dom Kultury, ul. Młyńska 11,Przechlewo,77-320,gm. Przechlewo,człuchowski,pomorskie
1878,Dom Kultury, ul. Parkowa 9,Łabunie,22-437,gm. Łabunie,zamojski,lubelskie
1879,Dom Kultury, ul. Piastowska 39,Sierpc,09-200,m. Sierpc,sierpecki,mazowieckie
1880,Dom Kultury, ul. Północna 5,Pogwizdów,43-418,gm. Hażlach,cieszyński,śląskie
1881,Dom Kultury, ul. Strzelecka 3,Ruszów,59-950,gm. Węgliniec,zgorzelecki,dolnośląskie
1882,Dom Kultury, ul. Tadeusza Kościuszki 7,Płoty,72-310,gm. Płoty,gryficki,zachodniopomorskie
1883,Dom Kultury, ul. Uchańska 9,Wojsławice,22-120,gm. Wojsławice,chełmski,lubelskie
1884,Dom Kultury, ul. Warszawska 27,Żabia Wola,96-321,gm. Żabia Wola,grodziski,mazowieckie
1885,Dom Kultury, ul. Wrocławska 16,Wilków,46-113,gm. Wilków,namysłowski,opolskie
1886,Dom Kultury, ul. ks. Antoniego Kowalkowskiego 11,Rytel,89-642,gm. Czersk,chojnicki,pomorskie
1887,Dom Kultury, ul. księdza Kałuży 4,Ozimek,46-040,gm. Ozimek,opolski,opolskie
1888,Dom Kultury, ul. Łęczycka 101,Wiry,62-051,gm. Komorniki,poznański,wielkopolskie
1889,Dom Kultury, ul. św. Jana 11,Trzemeszno,62-240,gm. Trzemeszno,gnieźnieński,wielkopolskie
1890,Dom Kultury, Łańce ul. Strażacka 2,Kornowac,44-285,gm. Kornowac,raciborski,śląskie
1891,Dom Kultury, Łowinek ul. Postępowa 3,Pruszcz,86-120,gm. Pruszcz,świecki,kujawsko-pomorskie
1892,Dom Kultury, Śmieszkowo 20,Sława,67-410,gm. Sława,wschowski,lubuskie
1893,Dom Lekarza Seniora im. dr K. Friza, ul. Wołoska 139,Warszawa,02-507,Mokotów,Warszawa,mazowieckie
1894,Dom Ludowo Strażacki, ul. Nadwarciańska 2,Sieradz,98-200,m. Sieradz,sieradzki,łódzkie
1895,"Dom Ludowy ""Józefów""", ul. Józefów 43,Łódź,93-615,m. Łódź,Łódź,łódzkie
1896,Dom Ludowy Bryły, ul. Adama Mickiewicza 115,Jasło,38-200,m. Jasło,jasielski,podkarpackie
1897,Dom Ludowy Brzeszcze-Bór w Brzeszczach, ul. Bór 65,Brzeszcze,32-620,gm. Brzeszcze,oświęcimski,małopolskie
1898,Dom Ludowy Chomęciska Duże Drugie, Chomęciska Duże 140,Stary Zamość,22-417,gm. Stary Zamość,zamojski,lubelskie
1899,Dom Ludowy Hankówka, ul. Hankówka 109,Jasło,38-200,m. Jasło,jasielski,podkarpackie
1900,Dom Ludowy Kaczorowy, ul. Kaczorowy 55,Jasło,38-200,m. Jasło,jasielski,podkarpackie
1901,Dom Ludowy Krajowice, ul. Okrężna 1,Jasło,38-200,m. Jasło,jasielski,podkarpackie
1902,Dom Ludowy Niegłowice, ul. Niegłowicka 27,Jasło,38-200,m. Jasło,jasielski,podkarpackie
1903,Dom Ludowy Rakszawa Kąty, Rakszawa 1225,Rakszawa,37-111,gm. Rakszawa,łańcucki,podkarpackie
1904,Dom Ludowy Strażak, Wokowice ul. Centralna 44,Biadoliny Szlacheckie,32-828,gm. Brzesko,brzeski,małopolskie
1905,Dom Ludowy i OSP Grabowiec w Grabowcu, Grabowiec 24,Kąkolewnica,21-302,gm. Kąkolewnica,radzyński,lubelskie
1906,Dom Ludowy w Adamierzu, ul. Adamierska 88,Olesno,33-210,gm. Olesno,dąbrowski,małopolskie
1907,Dom Ludowy w Agatówce, Agatówka ul. Kalinowa 5,Stalowa Wola,37-450,gm. Zaleszany,stalowowolski,podkarpackie
1908,Dom Ludowy w Babicy, Babica 97,Czudec,38-120,gm. Czudec,strzyżowski,podkarpackie
1909,Dom Ludowy w Babicy, Babica ul. Wiejska 47,Witanowice,34-103,gm. Wadowice,wadowicki,małopolskie
1910,Dom Ludowy w Bajdach, Bajdy 138,Wojaszówka,38-471,gm. Wojaszówka,krośnieński,podkarpackie
1911,Dom Ludowy w Bartodziejach, Bartodzieje 64,Tczów,26-706,gm. Tczów,zwoleński,mazowieckie
1912,Dom Ludowy w Batyczach, Batycze 120,Maćkowice,37-713,gm. Żurawica,przemyski,podkarpackie
1913,Dom Ludowy w Bedlnie, Bedlno 15A,Radzyń Podlaski,21-300,gm. Radzyń Podlaski,radzyński,lubelskie
1914,Dom Ludowy w Berezie, Bereza 72A,Międzyrzec Podlaski,21-560,gm. Międzyrzec Podlaski,bialski,lubelskie
1915,Dom Ludowy w Bielawie, Bielawa ul. Wspólna 13,Konstancin-Jeziorna,05-520,gm. Konstancin-Jeziorna,piaseczyński,mazowieckie
1916,Dom Ludowy w Bielińcu, Bieliniec ul. Św. Jana Pawła II 22,Ulanów,37-410,gm. Ulanów,niżański,podkarpackie
1917,Dom Ludowy w Bierówce, Bierówka 171,Szebnie,38-203,gm. Jasło,jasielski,podkarpackie
1918,Dom Ludowy w Bieździadce, Bieździadka 66b,Bieździadka,38-214,gm. Kołaczyce,jasielski,podkarpackie
1919,Dom Ludowy w Bobinie, Bobin 25,Proszowice,32-100,gm. Proszowice,proszowicki,małopolskie
1920,Dom Ludowy w Bogusławicach, Bogusławice 23a,Wolbórz,97-320,gm. Wolbórz,piotrkowski,łódzkie
1921,Dom Ludowy w Borku Małym, Borek Mały 41,Sędziszów Małopolski,39-120,gm. Ostrów,ropczycko-sędziszowski,podkarpackie
1922,Dom Ludowy w Borku Starym, Borek Stary 84,Tyczyn,36-020,gm. Tyczyn,rzeszowski,podkarpackie
1923,Dom Ludowy w Borówkach, Borówki 34,Chmielnik,36-016,gm. Chmielnik,rzeszowski,podkarpackie
1924,Dom Ludowy w Branicy Suchowolskiej, Branica Suchowolska 60,Wohyń,21-310,gm. Wohyń,radzyński,lubelskie
1925,Dom Ludowy w Bruśniku, Bruśnik 42A,Bruśnik,33-192,gm. Ciężkowice,tarnowski,małopolskie
1926,Dom Ludowy w Brzegach, Brzegi 234,Węgrzce Wielkie,32-002,gm. Wieliczka,wielicki,małopolskie
1927,Dom Ludowy w Brzezowej, Brzezowa 99,Nowy Żmigród,38-230,gm. Nowy Żmigród,jasielski,podkarpackie
1928,Dom Ludowy w Brzeźcach, Brzeźce ul. Rybna 1A,Kędzierzyn-Koźle,47-223,gm. Bierawa,kędzierzyńsko-kozielski,opolskie
1929,Dom Ludowy w Brzyściu, Brzyście 3,Jasło,38-200,gm. Jasło,jasielski,podkarpackie
1930,Dom Ludowy w Buczkowie, Buczków 137,Bratucice,32-712,gm. Rzezawa,bocheński,małopolskie
1931,Dom Ludowy w Budach Głogowskich, Budy Głogowskie 527,Głogów Małopolski,36-060,gm. Głogów Małopolski,rzeszowski,podkarpackie
1932,Dom Ludowy w Bugaju, Bugaj 74,Kalwaria Zebrzydowska,34-130,gm. Kalwaria Zebrzydowska,wadowicki,małopolskie
1933,Dom Ludowy w Bukowej, Bukowa 114,Brzostek,39-230,gm. Brzostek,dębicki,podkarpackie
1934,Dom Ludowy w Bukowie, Buków 91,Trześniów,36-212,gm. Haczów,brzozowski,podkarpackie
1935,Dom Ludowy w Bukowinie, Bukowina 93 A,Ulanów,37-410,gm. Ulanów,niżański,podkarpackie
1936,Dom Ludowy w Buszkowiczkach, Buszkowiczki 38,Żurawica,37-710,gm. Żurawica,przemyski,podkarpackie
1937,Dom Ludowy w Bystrej, Bystra 13,Bystra,34-382,gm. Radziechowy-Wieprz,żywiecki,śląskie
1938,Dom Ludowy w Bziance, Bzianka 191a,Wróblik Szlachecki,38-483,gm. Rymanów,krośnieński,podkarpackie
1939,Dom Ludowy w Bączałce, Bączałka 1,Grudna Dolna,39-232,gm. Brzostek,dębicki,podkarpackie
1940,Dom Ludowy w Będziemyślu, Będziemyśl 35,Będziemyśl,39-127,gm. Sędziszów Małopolski,ropczycko-sędziszowski,podkarpackie
1941,Dom Ludowy w Błędowej Tyczyńskiej, Błędowa Tyczyńska 29,Błędowa Tyczyńska,36-017,gm. Chmielnik,rzeszowski,podkarpackie
1942,Dom Ludowy w Błędowej Zgłobieńskiej, Błędowa Zgłobieńska 110A,Trzciana,36-071,gm. Świlcza,rzeszowski,podkarpackie
1943,Dom Ludowy w Cekanowie, Cekanów ul. Władysława Jagiełły 2/4,Tomaszów Mazowiecki,97-200,gm. Tomaszów Mazowiecki,tomaszowski,łódzkie
1944,Dom Ludowy w Cergowej, Cergowa 157,Dukla,38-450,gm. Dukla,krośnieński,podkarpackie
1945,Dom Ludowy w Chechle, Chechło ul. Plac Partyzantów 3,Klucze,32-310,gm. Klucze,olkuski,małopolskie
1946,Dom Ludowy w Chrobrzu, ul. Chrobrego 16,Chroberz,28-425,gm. Złota,pińczowski,świętokrzyskie
1947,Dom Ludowy w Chrosnej, Chrosna 150,Morawica,32-084,gm. Liszki,krakowski,małopolskie
1948,Dom Ludowy w Chruślinie, Chruślin 47A,Bielawy,99-423,gm. Bielawy,łowicki,łódzkie
1949,Dom Ludowy w Ciebłowicach Dużych, Ciebłowice Duże 132A,Tomaszów Mazowiecki,97-200,gm. Tomaszów Mazowiecki,tomaszowski,łódzkie
1950,Dom Ludowy w Cieciszewie, Cieciszew 67A,Konstancin-Jeziorna,05-520,gm. Konstancin-Jeziorna,piaseczyński,mazowieckie
1951,Dom Ludowy w Ciemięrzowicach, Ciemięrzowice 74,Kaszyce,37-717,gm. Orły,przemyski,podkarpackie
1952,Dom Ludowy w Cierpiszu, Cierpisz 33,Czarna Sędziszowska,39-123,gm. Sędziszów Małopolski,ropczycko-sędziszowski,podkarpackie
1953,Dom Ludowy w Cieślinie, Cieślin ul. Jurajska 67,Klucze,32-310,gm. Klucze,olkuski,małopolskie
1954,Dom Ludowy w Czarnochowicach, Czarnochowice 150,Wieliczka,32-020,gm. Wieliczka,wielicki,małopolskie
1955,Dom Ludowy w Czekaju, Czekaj 71,Osiek Jasielski,38-223,gm. Osiek Jasielski,jasielski,podkarpackie
1956,Dom Ludowy w Czeluśnicy, Czeluśnica 162,Tarnowiec,38-204,gm. Tarnowiec,jasielski,podkarpackie
1957,Dom Ludowy w Damianowie, Damianów 16C,Trojanów,08-455,gm. Trojanów,garwoliński,mazowieckie
1958,Dom Ludowy w Demblinie, Demblin 96,Wietrzychowice,33-270,gm. Wietrzychowice,tarnowski,małopolskie
1959,Dom Ludowy w Dobieszynie, Dobieszyn 103,Jedlicze,38-460,gm. Jedlicze,krośnieński,podkarpackie
1960,Dom Ludowy w Drohojowie, Drohojów 36,Orły,37-716,gm. Orły,przemyski,podkarpackie
1961,Dom Ludowy w Duląbce, Duląbka 86,Duląbka,38-222,gm. Dębowiec,jasielski,podkarpackie
1962,Dom Ludowy w Duńkowiczkach, Duńkowiczki 160,Orły,37-716,gm. Orły,przemyski,podkarpackie
1963,Dom Ludowy w Dworach Drugich, Dwory Drugie ul. Oświęcimska 28,Włosienica,32-642,gm. Oświęcim,oświęcimski,małopolskie
1964,Dom Ludowy w Dymitrowie Dużym, Dymitrów Duży 99,Baranów Sandomierski,39-450,gm. Baranów Sandomierski,tarnobrzeski,podkarpackie
1965,Dom Ludowy w Dzierdziówce, Dzierdziówka 152,Zaleszany,37-415,gm. Zaleszany,stalowowolski,podkarpackie
1966,Dom Ludowy w Dąbrowie Rzeczyckiej, Dąbrowa Rzeczycka 88,Radomyśl nad Sanem,37-455,gm. Radomyśl nad Sanem,stalowowolski,podkarpackie
1967,Dom Ludowy w Dąbrowie, Dąbrowa 36A,Trzciana,36-071,gm. Świlcza,rzeszowski,podkarpackie
1968,Dom Ludowy w Dąbrówce Pniowskiej, Dąbrówka Pniowska 43,Radomyśl nad Sanem,37-455,gm. Radomyśl nad Sanem,stalowowolski,podkarpackie
1969,Dom Ludowy w Dąbrówce, Dąbrówka 118,Jasło,38-211,gm. Brzyska,jasielski,podkarpackie
1970,Dom Ludowy w Długiem, Długie 113,Jedlicze,38-460,gm. Jedlicze,krośnieński,podkarpackie
1971,Dom Ludowy w Gliniance, Glinianka ul. Łączki 1A,Ulanów,37-410,gm. Ulanów,niżański,podkarpackie
1972,Dom Ludowy w Gorajowicach, Gorajowice 33,Jasło,38-200,gm. Jasło,jasielski,podkarpackie
1973,Dom Ludowy w Gorzejowej, Gorzejowa 21,Siedliska-Bogusz,39-231,gm. Brzostek,dębicki,podkarpackie
1974,Dom Ludowy w Gorzycach, Gorzyce 139,Nowy Żmigród,38-230,gm. Nowy Żmigród,jasielski,podkarpackie
1975,Dom Ludowy w Grabiu, Grabie 11,Radziszów,32-052,gm. Skawina,krakowski,małopolskie
1976,Dom Ludowy w Grojcu, Grojec ul. Bartosza Głowackiego 13,Alwernia,32-566,gm. Alwernia,chrzanowski,małopolskie
1977,Dom Ludowy w Grądach, Grądy 29,Mędrzechów,33-221,gm. Mędrzechów,dąbrowski,małopolskie
1978,Dom Ludowy w Grębocinie, Grębocin 16,Nowe Brzesko,32-120,gm. Nowe Brzesko,proszowicki,małopolskie
1979,Dom Ludowy w Gąsiorach, Gąsiory 25a,Ulan-Majorat,21-307,gm. Ulan-Majorat,radzyński,lubelskie
1980,Dom Ludowy w Gąskach, Gąski 28,Wola Krzysztoporska,97-371,gm. Wola Krzysztoporska,piotrkowski,łódzkie
1981,Dom Ludowy w Głobikówce, Głobikówka 69,Grudna Dolna,39-232,gm. Brzostek,dębicki,podkarpackie
1982,Dom Ludowy w Głogowie Małopolskim, ul. Diamentowa 11,Głogów Małopolski,36-060,gm. Głogów Małopolski,rzeszowski,podkarpackie
1983,Dom Ludowy w Głogowie Małopolskim, ul. Lipieńska 9,Głogów Małopolski,36-060,gm. Głogów Małopolski,rzeszowski,podkarpackie
1984,Dom Ludowy w Głogowie Małopolskim, ul. Ofiar Katynia 2,Głogów Małopolski,36-060,gm. Głogów Małopolski,rzeszowski,podkarpackie
1985,Dom Ludowy w Głogowie Małopolskim, ul. Stykowska 154,Głogów Małopolski,36-060,gm. Głogów Małopolski,rzeszowski,podkarpackie
1986,Dom Ludowy w Habdzinie, Habdzin 24C,Konstancin-Jeziorna,05-520,gm. Konstancin-Jeziorna,piaseczyński,mazowieckie
1987,Dom Ludowy w Harcie, Harta 225,Harta,36-067,gm. Dynów,rzeszowski,podkarpackie
1988,Dom Ludowy w Harklowej, Harklowa 501,Harklowa,38-243,gm. Skołyszyn,jasielski,podkarpackie
1989,Dom Ludowy w Harmężach, Harmęże ul. Borowskiego 32,Oświęcim,32-600,gm. Oświęcim,oświęcimski,małopolskie
1990,Dom Ludowy w Hermanowej, Hermanowa 225,Tyczyn,36-020,gm. Tyczyn,rzeszowski,podkarpackie
1991,Dom Ludowy w Hnatkowicach, Hnatkowice 182,Kaszyce,37-717,gm. Orły,przemyski,podkarpackie
1992,Dom Ludowy w Hucie Deręgowskiej, Huta Deręgowska 58 A,Ulanów,37-410,gm. Ulanów,niżański,podkarpackie
1993,Dom Ludowy w Hucisku, Hucisko 1,Przewrotne,36-003,gm. Głogów Małopolski,rzeszowski,podkarpackie
1994,Dom Ludowy w Iwli, Iwla 20,Dukla,38-450,gm. Dukla,krośnieński,podkarpackie
1995,Dom Ludowy w Jabłonce, Jabłonka 47,Dydnia,36-204,gm. Dydnia,brzozowski,podkarpackie
1996,Dom Ludowy w Jabłonicy, Jabłonica 126,Jasło,38-200,gm. Skołyszyn,jasielski,podkarpackie
1997,Dom Ludowy w Jankowach, Jankowy 5A,Baranów,63-604,gm. Baranów,kępiński,wielkopolskie
1998,Dom Ludowy w Jarząbkowicach, Jarząbkowice ul. Rolnicza 1,Golasowice,43-252,gm. Pawłowice,pszczyński,śląskie
1999,Dom Ludowy w Jazowej, Jazowa 11,Wiśniowa,38-124,gm. Wiśniowa,strzyżowski,podkarpackie
2000,Dom Ludowy w Jaśkowicach, ul. Kościelna 6,Jaśkowice,32-051,gm. Skawina,krakowski,małopolskie
2001,Dom Ludowy w Jaślanach, Jaślany 279,Tuszów Narodowy,39-332,gm. Tuszów Narodowy,mielecki,podkarpackie
2002,Dom Ludowy w Jaśliskach, Jaśliska 30,Jaśliska,38-485,gm. Jaśliska,krośnieński,podkarpackie
2003,Dom Ludowy w Joance, Joanka 5A,Baranów,63-604,gm. Baranów,kępiński,wielkopolskie
2004,Dom Ludowy w Jurczycach, Jurczyce 26,Radziszów,32-052,gm. Skawina,krakowski,małopolskie
2005,Dom Ludowy w Kalembinie, Kalembina 52,Wiśniowa,38-124,gm. Wiśniowa,strzyżowski,podkarpackie
2006,Dom Ludowy w Kiczkach, Kiczki Pierwsze 72,Cegłów,05-319,gm. Cegłów,miński,mazowieckie
2007,Dom Ludowy w Kielnarowej, Kielnarowa 57,Tyczyn,36-020,gm. Tyczyn,rzeszowski,podkarpackie
2008,Dom Ludowy w Kleciach, Klecie 126,Brzostek,39-230,gm. Brzostek,dębicki,podkarpackie
2009,Dom Ludowy w Klimkówce, Klimkówka ul. Zdrojowa 51,Rymanów,38-480,gm. Rymanów,krośnieński,podkarpackie
2010,Dom Ludowy w Klęczanach, Klęczany 112,Będziemyśl,39-127,gm. Sędziszów Małopolski,ropczycko-sędziszowski,podkarpackie
2011,Dom Ludowy w Knapach, Knapy ul. Wspólna 7,Skopanie,39-451,gm. Baranów Sandomierski,tarnobrzeski,podkarpackie
2012,Dom Ludowy w Komorowie, Komorów ul. Biblioteczna 1,Tomaszów Mazowiecki,97-200,gm. Tomaszów Mazowiecki,tomaszowski,łódzkie
2013,Dom Ludowy w Kopydłowie, Kopydłów 36,Biała,98-350,gm. Biała,wieluński,łódzkie
2014,Dom Ludowy w Kopyści, Kopyść 11a,Łask,98-100,gm. Łask,łaski,łódzkie
2015,Dom Ludowy w Kosienicach, Kosienice 103B,Maćkowice,37-713,gm. Żurawica,przemyski,podkarpackie
2016,Dom Ludowy w Kraczkowej, Kraczkowa 882,Kraczkowa,37-124,gm. Łańcut,łańcucki,podkarpackie
2017,Dom Ludowy w Krzemiennej, Krzemienna 46,Dydnia,36-204,gm. Dydnia,brzozowski,podkarpackie
2018,Dom Ludowy w Krzywem, Krzywe 68,Dydnia,36-204,gm. Dydnia,brzozowski,podkarpackie
2019,Dom Ludowy w Kępie Rzeczyckiej, Kępa Rzeczycka 23,Radomyśl nad Sanem,37-455,gm. Radomyśl nad Sanem,stalowowolski,podkarpackie
2020,Dom Ludowy w Kępiu, Kępie 20B,Oleśnica,28-220,gm. Oleśnica,staszowski,świętokrzyskie
2021,Dom Ludowy w Kłodawie, Kłodawa 37,Brzyska,38-212,gm. Brzyska,jasielski,podkarpackie
2022,Dom Ludowy w Ladzinie, Ladzin ul. Rzeszowska 155,Rymanów,38-480,gm. Rymanów,krośnieński,podkarpackie
2023,Dom Ludowy w Laskach, Laski ul. Kępińska 17,Trzcinica,63-620,gm. Trzcinica,kępiński,wielkopolskie
2024,Dom Ludowy w Legardzie, Legarda 26 B,Gostynin,09-500,gm. Gostynin,gostyniński,mazowieckie
2025,Dom Ludowy w Leżachowie, Leżachów 80A,Sieniawa,37-530,gm. Sieniawa,przeworski,podkarpackie
2026,Dom Ludowy w Lipnicy Górnej, Lipnica Górna 136,Jasło,38-211,gm. Skołyszyn,jasielski,podkarpackie
2027,Dom Ludowy w Lisiowólce, Lisiowólka 72A,Wohyń,21-310,gm. Wohyń,radzyński,lubelskie
2028,Dom Ludowy w Lisowie, Lisów 172,Skołyszyn,38-242,gm. Skołyszyn,jasielski,podkarpackie
2029,Dom Ludowy w Lubatówce, Lubatówka 98,Iwonicz-Zdrój,38-440,gm. Iwonicz-Zdrój,krośnieński,podkarpackie
2030,Dom Ludowy w Lubiaszowie, Lubiaszów ul. Dębowa 9,Wolbórz,97-320,gm. Wolbórz,piotrkowski,łódzkie
2031,Dom Ludowy w Lutogniewie, ul. Krotoszyńska 154,Lutogniew,63-700,gm. Krotoszyn,krotoszyński,wielkopolskie
2032,Dom Ludowy w Machnówce, Machnówka 102,Chorkówka,38-458,gm. Chorkówka,krośnieński,podkarpackie
2033,Dom Ludowy w Majdanie Zbydniowskim, Majdan Zbydniowski 158,Zaleszany,37-415,gm. Zaleszany,stalowowolski,podkarpackie
2034,Dom Ludowy w Majscowej, Majscowa 171,Dębowiec,38-220,gm. Dębowiec,jasielski,podkarpackie
2035,Dom Ludowy w Makowiskach, Makowiska 155,Nowy Żmigród,38-230,gm. Nowy Żmigród,jasielski,podkarpackie
2036,Dom Ludowy w Malcu, Malec ul. K. Jędrzejowskiego 16,Nowa Wieś,32-651,gm. Kęty,oświęcimski,małopolskie
2037,Dom Ludowy w Marcinkowicach, Marcinkowice 92,Marcinkowice,33-273,gm. Radłów,tarnowski,małopolskie
2038,Dom Ludowy w Maryninie, Marynin 28A,Radzyń Podlaski,21-300,gm. Radzyń Podlaski,radzyński,lubelskie
2039,Dom Ludowy w Małkowie, Małków 75,Warta,98-290,gm. Warta,sieradzki,łódzkie
2040,Dom Ludowy w Mirkowicach, Mirkowice 33,Ostrowiec Świętokrzyski,27-400,gm. Bodzechów,ostrowiecki,świętokrzyskie
2041,Dom Ludowy w Mirowie, Mirów ul. Karola Wojtyły 12,Alwernia,32-566,gm. Alwernia,chrzanowski,małopolskie
2042,Dom Ludowy w Motyczu Poduchownym, Motycze Poduchowne 88,Gorzyce,39-432,gm. Gorzyce,tarnobrzeski,podkarpackie
2043,Dom Ludowy w Motyczu Szlacheckim, Motycze Szlacheckie 40,Zaleszany,37-415,gm. Zaleszany,stalowowolski,podkarpackie
2044,Dom Ludowy w Mrukowej, Mrukowa 161,Osiek Jasielski,38-223,gm. Osiek Jasielski,jasielski,podkarpackie
2045,Dom Ludowy w Mytarce, Mytarka 92,Nowy Żmigród,38-230,gm. Nowy Żmigród,jasielski,podkarpackie
2046,Dom Ludowy w Myślenicach, ul. 3-ego Maja 56,Myślenice,32-400,gm. Myślenice,myślenicki,małopolskie
2047,Dom Ludowy w Mąkolicach, Mąkolice 88,Wola Krzysztoporska,97-371,gm. Wola Krzysztoporska,piotrkowski,łódzkie
2048,Dom Ludowy w Młotkowicach, Młotkowice 124,Ruda Maleniecka,26-242,gm. Ruda Maleniecka,konecki,świętokrzyskie
2049,Dom Ludowy w Mścicach, ul. Południowa 11/sala nr 1,Mścice,76-031,gm. Będzino,koszaliński,zachodniopomorskie
2050,Dom Ludowy w Mścicach, ul. Południowa 11/sala nr 2,Mścice,76-031,gm. Będzino,koszaliński,zachodniopomorskie
2051,Dom Ludowy w Naropnej, Naropna 1,Żelechlinek,97-226,gm. Żelechlinek,tomaszowski,łódzkie
2052,Dom Ludowy w Niegłowicach, Niegłowice 248,Jasło,38-200,gm. Jasło,jasielski,podkarpackie
2053,Dom Ludowy w Nizinach, Niziny 202,Orły,37-716,gm. Orły,przemyski,podkarpackie
2054,Dom Ludowy w Niżatycach, Niżatyce 15,Niżatyce,37-220,gm. Kańczuga,przeworski,podkarpackie
2055,Dom Ludowy w Niżnej Łące, Niżna Łąka ul. O. Hieronima Longawy 51,Miejsce Piastowe,38-455,gm. Miejsce Piastowe,krośnieński,podkarpackie
2056,Dom Ludowy w Niżowej, Niżowa 52,Gdów,32-420,gm. Gdów,wielicki,małopolskie
2057,Dom Ludowy w Nowinach, Nowiny 56,Radomyśl nad Sanem,37-455,gm. Radomyśl nad Sanem,stalowowolski,podkarpackie
2058,Dom Ludowy w Nowym Gliniku, Nowy Glinik 89,Tarnowiec,38-204,gm. Tarnowiec,jasielski,podkarpackie
2059,Dom Ludowy w Ochodzy, Ochodza ul. Wiślana 56,Wielkie Drogi,32-051,gm. Skawina,krakowski,małopolskie
2060,Dom Ludowy w Odrzykoniu, ul. Hetmana Mikołaja Kamienieckiego 131,Odrzykoń,38-406,gm. Wojaszówka,krośnieński,podkarpackie
2061,Dom Ludowy w Okleśnej, Okleśna ul. Nowowiejska 5,Alwernia,32-566,gm. Alwernia,chrzanowski,małopolskie
2062,Dom Ludowy w Olszynce, Olszynka 97,Kaszyce,37-717,gm. Orły,przemyski,podkarpackie
2063,Dom Ludowy w Opacionce, Opacionka 61,Brzostek,39-230,gm. Brzostek,dębicki,podkarpackie
2064,Dom Ludowy w Opaciu, Opacie 154,Jasło,38-200,gm. Jasło,jasielski,podkarpackie
2065,Dom Ludowy w Oparówce, Oparówka 10A,Wysoka Strzyżowska,38-123,gm. Wiśniowa,strzyżowski,podkarpackie
2066,Dom Ludowy w Orchowie, Orchów 81b,Łask,98-100,gm. Łask,łaski,łódzkie
2067,Dom Ludowy w Orzechowcach, Orzechowce 85,Orzechowce,37-712,gm. Żurawica,przemyski,podkarpackie
2068,Dom Ludowy w Orłach, ul. Przemyska 2,Orły,37-716,gm. Orły,przemyski,podkarpackie
2069,Dom Ludowy w Palczowicach, ul. Elizy Orzeszkowej 37,Palczowice,32-640,gm. Zator,oświęcimski,małopolskie
2070,Dom Ludowy w Parmie, Parma 65,Łowicz,99-400,gm. Łowicz,łowicki,łódzkie
2071,Dom Ludowy w Pielgrzymce, Pielgrzymka 185,Osiek Jasielski,38-223,gm. Osiek Jasielski,jasielski,podkarpackie
