id,name,address,city,post_code,gmina,powiat,wojewodztwo
12696,Szkoła Podstawowa Nr 5 im. Noblistów Polskich w Gołdapi, ul. Tadeusza Kościuszki 30,Gołdap,19-500,gm. Gołdap,gołdapski,warmińsko-mazurskie
12697,Szkoła Podstawowa Nr 5 im. Orła Białego, ul. Eugeniusza Kalicińskiego 5,Oświęcim,32-600,m. Oświęcim,oświęcimski,małopolskie
12698,Szkoła Podstawowa Nr 5 im. Polskich Noblistów w Śremie, ul. Dezyderego Chłapowskiego 12A,Śrem,63-100,gm. Śrem,śremski,wielkopolskie
12699,Szkoła Podstawowa Nr 5 im. Seweryna Udzieli w Ropczycach, ul. Stanisława Konarskiego 4,Ropczyce,39-100,gm. Ropczyce,ropczycko-sędziszowski,podkarpackie
12700,Szkoła Podstawowa Nr 5 im. T. Kościuszki, ul. Skowronków Nr 8,Tarnów,33-100,m. Tarnów,Tarnów,małopolskie
12701,Szkoła Podstawowa Nr 5 im. Zofii Niedziałkowskiej, ul. gen. Józefa Hallera 12,Ostrołęka,07-410,m. Ostrołęka,Ostrołęka,mazowieckie
12702,Szkoła Podstawowa Nr 5 im. dra Józefa Krzymińskiego, ul. Stanisława Kiełbasiewicza 7,Inowrocław,88-100,m. Inowrocław,inowrocławski,kujawsko-pomorskie
12703,Szkoła Podstawowa Nr 5 w Chrzanowie, ul. Fabryczna 23a,Chrzanów,32-500,gm. Chrzanów,chrzanowski,małopolskie
12704,Szkoła Podstawowa Nr 5 w Sędziszowie Małopolskim, ul. Kawęczyn 70,Sędziszów Małopolski,39-120,gm. Sędziszów Małopolski,ropczycko-sędziszowski,podkarpackie
12705,Szkoła Podstawowa Nr 5 w Trzebini, ul. Jana III Sobieskiego 25,Trzebinia,32-540,gm. Trzebinia,chrzanowski,małopolskie
12706,Szkoła Podstawowa Nr 5 w Wadowicach, os. Osiedle Mikołaja Kopernika 11,Wadowice,34-100,gm. Wadowice,wadowicki,małopolskie
12707,Szkoła Podstawowa Nr 5 w Wiśle, ul. Jawornik 58,Wisła,43-460,m. Wisła,cieszyński,śląskie
12708,Szkoła Podstawowa Nr 5 w Zespole Szkolno-Przedszkolnym Nr 3, ul. Żwirki i Wigury 85,Gliwice,44-122,m. Gliwice,Gliwice,śląskie
12709,Szkoła Podstawowa Nr 5 w Łomży, ul. Polna 40A,Łomża,18-400,m. Łomża,Łomża,podlaskie
12710,Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi im. Bohaterów Westerplatte, os. Osiedle Błękitne 25,Dzierżoniów,58-200,m. Dzierżoniów,dzierżoniowski,dolnośląskie
12711,Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi w Tychach, ul. Stefana Czarnieckiego 22,Tychy,43-100,m. Tychy,Tychy,śląskie
12712,Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi, ul. Wieniecka 46,Włocławek,87-800,m. Włocławek,Włocławek,kujawsko-pomorskie
12713,Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi-Sala 16-parter, ul. Kazimierza Wielkiego 12,Kętrzyn,11-400,m. Kętrzyn,kętrzyński,warmińsko-mazurskie
12714,Szkoła Podstawowa Nr 5 z Oddziałami Integracyjnymi-Sala 8-parter, ul. Kazimierza Wielkiego 12,Kętrzyn,11-400,m. Kętrzyn,kętrzyński,warmińsko-mazurskie
12715,Szkoła Podstawowa Nr 5 Sala Gimnastyczna Wejście B, ul. Kościuszki 14,Lębork,84-300,m. Lębork,lęborski,pomorskie
12716,Szkoła Podstawowa Nr 5 Wejście A , ul. Kościuszki 14,Lębork,84-300,m. Lębork,lęborski,pomorskie
12717,Szkoła Podstawowa Nr 5 im. Sybiraków , al. Aleja Sybiraków 3A,Olsztyn,10-256,m. Olsztyn,Olsztyn,warmińsko-mazurskie
12718,Szkoła Podstawowa Nr 5, os. Osiedle Wyzwolenia 7a,Turek,62-700,m. Turek,turecki,wielkopolskie
12719,Szkoła Podstawowa Nr 5, pl. Plac 11 Listopada 13,Lipno,87-600,m. Lipno,lipnowski,kujawsko-pomorskie
12720,Szkoła Podstawowa Nr 5, ul. 1 Maja 63,Zgierz,95-100,m. Zgierz,zgierski,łódzkie
12721,Szkoła Podstawowa Nr 5, ul. 1 Stycznia 17,Żnin,88-400,gm. Żnin,żniński,kujawsko-pomorskie
12722,Szkoła Podstawowa Nr 5, ul. Aleja Legionów 6,Bytom,41-902,m. Bytom,Bytom,śląskie
12723,Szkoła Podstawowa Nr 5, ul. Aleja Niepodległości 54,Kraśnik,23-204,m. Kraśnik,kraśnicki,lubelskie
12724,Szkoła Podstawowa Nr 5, ul. Armii Krajowej 9,Jawor,59-400,m. Jawor,jaworski,dolnośląskie
12725,Szkoła Podstawowa Nr 5, ul. Bolesława Chrobrego 12,Gniezno,62-200,m. Gniezno,gnieźnieński,wielkopolskie
12726,Szkoła Podstawowa Nr 5, ul. Cegielniana 25,Ozorków,95-035,m. Ozorków,zgierski,łódzkie
12727,Szkoła Podstawowa Nr 5, ul. Chemików 1A,Nowy Dwór Mazowiecki,05-100,m. Nowy Dwór Mazowiecki,nowodworski,mazowieckie
12728,Szkoła Podstawowa Nr 5, ul. Chramcówki 27,Zakopane,34-500,m. Zakopane,tatrzański,małopolskie
12729,Szkoła Podstawowa Nr 5, ul. Dolne Młyny 60,Bolesławiec,59-700,m. Bolesławiec,bolesławiecki,dolnośląskie
12730,Szkoła Podstawowa Nr 5, ul. Długa 92,Mysłowice,41-409,m. Mysłowice,Mysłowice,śląskie
12731,Szkoła Podstawowa Nr 5, ul. Emilii Gierczak 8,Nysa,48-300,gm. Nysa,nyski,opolskie
12732,Szkoła Podstawowa Nr 5, ul. Franciszkańska 102,Koszalin,75-255,m. Koszalin,Koszalin,zachodniopomorskie
12733,Szkoła Podstawowa Nr 5, ul. Gdańska 30,Wejherowo,84-200,m. Wejherowo,wejherowski,pomorskie
12734,Szkoła Podstawowa Nr 5, ul. Grabowska 1 - 3,Ostrów Wielkopolski,63-400,m. Ostrów Wielkopolski,ostrowski,wielkopolskie
12735,Szkoła Podstawowa Nr 5, ul. Graniczna 1,Gostyń,63-800,gm. Gostyń,gostyński,wielkopolskie
12736,Szkoła Podstawowa Nr 5, ul. Ignacego Paderewskiego 49,Zawiercie,42-400,m. Zawiercie,zawierciański,śląskie
12737,Szkoła Podstawowa Nr 5, ul. Inki - Danuty Siedzikówny 1,Łask,98-100,gm. Łask,łaski,łódzkie
12738,Szkoła Podstawowa Nr 5, ul. Juliusza Słowackiego 66,Otwock,05-402,m. Otwock,otwocki,mazowieckie
12739,Szkoła Podstawowa Nr 5, ul. Józefa Ryszki 55,Chorzów,41-500,m. Chorzów,Chorzów,śląskie
12740,Szkoła Podstawowa Nr 5, ul. Kamienna 15,Białystok,15-021,m. Białystok,Białystok,podlaskie
12741,Szkoła Podstawowa Nr 5, ul. Kamienna 8,Oława,55-200,m. Oława,oławski,dolnośląskie
12742,Szkoła Podstawowa Nr 5, ul. Kazimierza Pułaskiego 6/8,Piastów,05-820,m. Piastów,pruszkowski,mazowieckie
12743,Szkoła Podstawowa Nr 5, ul. Kolejowa 5,Koło,62-600,m. Koło,kolski,wielkopolskie
12744,Szkoła Podstawowa Nr 5, ul. Księdza Jerzego Popiełuszki 1,Kraśnik,23-204,m. Kraśnik,kraśnicki,lubelskie
12745,Szkoła Podstawowa Nr 5, ul. Kuśnierzy 7,Stargard,73-110,m. Stargard,stargardzki,zachodniopomorskie
12746,Szkoła Podstawowa Nr 5, ul. L. Zondka 6,Grodzisk Mazowiecki,05-825,gm. Grodzisk Mazowiecki,grodziski,mazowieckie
