mysql> SELECT * FROM gmina;
+------+-----------------------------+
| id   | name                        |
|  285 | gm. S?popol                 |
|  286 | gm. Bochnia                 |
|  287 | gm. Huszlew                 |
|  288 | gm. ?urawica                |
|  289 | gm. Strzelce                |
|  290 | gm. Borki                   |
|  291 | gm. Mirzec                  |
|  292 | gm. ?osice                  |
|  293 | gm. ?askarzew               |
|  294 | gm. S?omniki                |
|  295 | gm. Strachówka              |
|  296 | gm. Tykocin                 |
|  297 | gm. Szczytniki              |
|  298 | gm. Stawiszyn               |
|  299 | gm. Widawa                  |
|  300 | gm. Czernice Borowe         |
|  301 | gm. Kazanów                 |
|  302 | gm. Czarnocin               |
|  303 | gm. Wieruszów               |
|  304 | gm. Brzeziny                |
|  305 | gm. Ka?uszyn                |
|  306 | gm. Góra ?wi?tej Ma?gorzaty |
|  307 | gm. Kie?czyg?ów             |
|  308 | gm. Toszek                  |
|  309 | gm. Wodynie                 |
|  310 | gm. Gdów                    |
|  311 | gm. Przy??k                 |
|  312 | gm. Parz?czew               |
|  313 | gm. Maciejowice             |
|  314 | gm. Konopnica               |
|  315 | gm. Babice                  |
|  316 | gm. Grabów nad Pilic?       |
|  317 | gm. Wieliszew               |
|  318 | gm. K?pno                   |
|  319 | gm. Mi?dzyzdroje            |
|  320 | gm. Zbójna                  |
|  321 | gm. Kamieniec Z?bkowicki    |
|  322 | gm. Ozimek                  |
|  323 | gm. Strzelce Wielkie        |
|  324 | gm. Wola Krzysztoporska     |
|  325 | gm. Konstancin-Jeziorna     |
|  326 | gm. Marklowice              |
|  327 | gm. Mieszkowice             |
|  328 | m. Rybnik                   |
|  329 | m. Ostróda                  |
|  330 | gm. Rawicz                  |
|  331 | m. Rejowiec Fabryczny       |
|  332 | gm. ?roda Wielkopolska      |
|  333 | gm. Dzia?oszyce             |
|  334 | gm. B?aszki                 |
|  335 | m. Skórcz                   |
|  336 | gm. Dobrzyca                |
|  337 | gm. Czarna Bia?ostocka      |
|  338 | gm. Gorzów ?l?ski           |
|  339 | gm. Jas?o                   |
|  340 | gm. Gr?boszów               |
|  341 | gm. Dolice                  |
|  342 | gm. Joniec                  |
|  343 | gm. Sobków                  |
|  344 | gm. Nowy Dwór               |
|  345 | gm. Nowa Sól                |
|  346 | m. Ustro?                   |
|  347 | gm. Kulesze Ko?cielne       |
